用户,是否看过,评分,评论时间,有用数,评论
荞麦,看过,推荐,2016/9/13 13:17,42,节奏还不错的商业片，虽然到了某些时候还是难免韩国人最爱的拖沓……不过怎么说呢，一流的商业片也不如二流文艺片有意思……
Un,看过,推荐,2018/1/12 17:51,26,影片可以给满分的，但是想了想还是打四颗星吧。影片很感人，揭露了人性的黑暗与丑陋，但正是这些黑色背景也从侧面烘托出了人类之间的大爱与团结，泪点突出，情节紧密性强👍，不错
大萌,看过,推荐,2016/9/16 21:38,35,里面有个害人精，看得我好生气啊！
陈哈,看过,推荐,2016/9/12 23:10,57,3.75分吧。框架之内，无火花，无过失。结尾为了煽情而不顾逻辑，扣分。且不说已见了无数僵尸的军队，是否连僵尸式走路姿势都分不出来。喊一嗓子“你们是僵尸还是正常人啊”有这么难？
仰望星空不好吃,看过,推荐,2016/9/12 10:01,62,看一半想起来胖子对小女孩说要等两个人上完厕所是什么意思，很甜呀。虽然爱煽情，设定也各种俗套，但还是觉得角色都很饱满，特别各种对比很有意思，僵尸变异速度好快&拖住火车的僵尸群好酷！僵尸世界大战里印象最深的好像也是叠罗汉。PS想看血浆丧尸什么的这片还是算了。
狷介有乌青,看过,推荐,2016/9/11 22:41,52,群演比老美丧尸的战斗力直接提升N个水平，且在没有一枪爆头的设置下加进了手撕丧尸的技能。（每一个灾难片都得有一个让观众恨得咬牙切齿的角色一直活到电影的四分之三进度条）
黄青蕉,看过,力荐,2016/10/28 20:59,45,节奏特别好
陈哈,看过,推荐,2016/9/12 23:10,57,3.75分吧。框架之内，无火花，无过失。结尾为了煽情而不顾逻辑，扣分。且不说已见了无数僵尸的军队，是否连僵尸式走路姿势都分不出来。喊一嗓子“你们是僵尸还是正常人啊”有这么难？
霜天盈月,看过,还行,2018/2/11 0:34,33,这电影很不错，算是经典的影片吧，危难时刻见真情……
仰望星空不好吃,看过,推荐,2016/9/12 10:01,62,看一半想起来胖子对小女孩说要等两个人上完厕所是什么意思，很甜呀。虽然爱煽情，设定也各种俗套，但还是觉得角色都很饱满，特别各种对比很有意思，僵尸变异速度好快&拖住火车的僵尸群好酷！僵尸世界大战里印象最深的好像也是叠罗汉。PS想看血浆丧尸什么的这片还是算了。
狷介有乌青,看过,推荐,2016/9/11 22:41,52,群演比老美丧尸的战斗力直接提升N个水平，且在没有一枪爆头的设置下加进了手撕丧尸的技能。（每一个灾难片都得有一个让观众恨得咬牙切齿的角色一直活到电影的四分之三进度条）
浣熊市垃圾回收,看过,力荐,2016/9/14 3:09,45,近年来最好的丧尸片之一，剧本和演技都不敷衍，完全不是那些流水线糙货。能认真而诚恳地拍部烂大街题材的商业片相当值得赞许，因为很多时候这种片都摆明了抢你钱+强奸你智商还没让你爽。但是这部电影不同，它有一个小而完整的故事，感情激发恰到好处，一气呵成。小女孩演技绝赞！我哭肿了眼睛！
豆友170823098,看过,推荐,2018/2/16 10:37,33,孟子说“人之初，性本善”；荀子说“人之初，性本恶”。人性到底是善还是恶！！
鸟倦知还,看过,推荐,2016/9/11 23:48,33,韩影在解剖人性和煽情方面一直是把好手，新加入的丧尸元素也为紧张的节奏和恐怖的气氛加分不少，总的来说，是部不错的商业片。
肥肥鱼,看过,力荐,2016/9/13 12:26,58,会跑酷的丧尸，就问你怕不怕……
北野。🍊,看过,推荐,2021/8/30 11:08,57,在评论区看到有些毛没长齐的说什么：最后那一枪要是开了，就是神作了！并带有明显的失望的情绪，这条评价还一万八千人点赞？不是，我就很奇怪，完全泯灭了人性就能成为你们眼里的神作？这是什么思路？NMLGB、草来
KID,看过,还行,2016/9/12 3:11,32,评分高的有点儿过分，感觉《流感》比这个不知道要高到哪里去了！
蒂莫西,看过,推荐,2016/9/11 22:52,37,不错的商业片。虽说依然有韩国电影里惯有的套路和煽情但是不影响影片整体水平。短评里小学没毕业的那几位，学会用爱的眼光来看待这个世界不好么？人家抄袭也好剽窃也罢没有原创性完成度不够巴拉巴拉的，但是最起码人韩国拍电影没把观众当傻逼耍啊，某国总拿垃圾强奸大众双眼也不能都让人广电总局背锅呀
梦里诗书,看过,推荐,2016/9/11 16:34,26,虽然就剧情来说，《釜山行》只是沿用了一个好莱坞僵尸题材的模板，但不可否认无论是从情节的紧凑，还是特效的真实上来看，其已然拥有了与好莱坞能一概而论的功底，而韩国电影所善的煽情，更在这部电影中有着行云流水般的巧融。
肥,看过,推荐,2018/2/12 13:05,20,看完後，感覺挺體現社會的現象的，是一部不錯的電影
喻鸣,看过,推荐,2016/9/13 18:00,35,外表是《僵尸世界大战》的尸速求生，内里是《卡桑德拉大桥》的人性善恶，再次感叹韩国的类型模仿和创新能力，将封闭空间的极限生存设计得跌宕起伏，套路里又见本土特色，几处煽情也不令人反感。有个大漏洞，第一批幸存者要隔离有感染嫌疑的主角们，正常做法不是让他们留在原地自己退守后一车厢吗？
待城,看过,推荐,2016/11/7 18:22,24,人性到底是什么样的呢，这部电影给了我们解释，虽说有些人在遇到危险的时候只想着自己，但我还是愿意相信世界上还是像秀安爸爸这样的好人多，愿我们都能被世界温柔以待。
Joey的第34任女友,看过,较差,2016/9/13 10:22,19,剧情引人入胜。但论实质，这部片其实和唐山大地震之类没有什么区别，为煽而煽为虐而虐，群演人物脸谱化，善者极善恶者极恶。从熔炉到素媛到金福南到哭声，这些年的韩国电影都热衷于拿极端故事博眼球，很聪明，但也有点投机取巧噢。有一场很紧张的戏竟然笑场了，怪我。。。
已注销,看过,推荐,2016/11/28 11:40,38,前后水准并不一致，结尾部分大家像集体智商下线了一样。不过，整体还是一部好电影。
小岩井,看过,推荐,2016/9/17 3:13,41,虽然 bug 不少，但确实是一部好片。感慨韩国电影的前进速度，真的越来越稳。羡慕啊。
A蓝精灵,看过,推荐,2018/1/23 20:42,46,总有种看完还想看的感觉，虽然觉得很恐怖，但是真的很不错呀～
Peter Cat,看过,还行,2016/11/8 9:18,27,3.5，其实写这样剧本不难对吧，但是拍成这样是需要有一整个工业支撑的。不知道我国的编剧们是否已经攒了很多这样剧本……
FMIUL,看过,推荐,2016/9/13 18:03,43,恭喜韩国电影又甩了我们十年，从早期的《老男孩》《杀人回忆》到前几年全面开花的《辩护人》《熔炉》《恐怖直播》等，韩国从小到老一票戏骨以及负责任的电影工作者们，把我国那群靠鲜肉卖脸卖青春自拍式演技把观众当智障的脑残圈钱片导演们羞辱个遍，不知他们看到韩国这几年各种牛逼片会不会觉得惭愧。
吉时行乐文棠生,看过,力荐,2016/9/12 0:09,40,你国装神弄鬼靠卖肉吸睛把观众当傻子的惊悚片给这部提鞋都不够。相对本国电影来说四星半因为其实可以更好，但相对你国来说，六星都不够。别再让审查制度和意识形态背锅了，都他妈想着给投资人当孙子有几个好好拍电影的啊求你们了。
已注销,看过,推荐,2018/2/12 14:34,21,末世见闻，末世中的人性，再一次反应了韩国的部分现状。
少数豪,看过,还行,2016/9/15 16:13,24,无聊
张苑希,看过,力荐,2016/9/11 20:07,28,超赞的韩国商业电影，又酷又爽又过瘾，高潮一波接一波，看得人拍手称快。泡菜就算是在拍丧尸题材也不忘融入人文、思想、情感、政治等等元素，结尾的煽情不过不失，点到即止，反正我是被感动了。孔侑+郑有美真是黄金组合呐，继《熔炉》之后的又一力作！
cao,看过,推荐,2016/9/12 1:45,27,太套路了，但是能把套路做得圆满也是很难得了
多看电影爱电影,看过,推荐,2017/2/15 8:30,23,《釜山行》是第一部亚洲拍的丧尸大片。里面演丧尸的群演真的很给力，演的特别像！
吉米糕,看过,力荐,2016/9/13 6:05,19,哦，天哪，这是韩国。
托尼·王大拿,看过,还行,2017/1/5 10:48,14,大量腻腻歪歪的别离使得全片的节奏十分割裂与拼贴，但是闪光的地方也不少：除了主打的丧尸场面，还很喜欢对结局和反面角色至死也不搞什么人性觉醒的处理。
待注销,看过,还行,2016/9/18 14:34,26,这个舶来的丧尸病毒特别像共产赤祸的隐喻，感染后人性泯灭，亲情友情爱情全部反噬殆尽，而即使浩劫过后之幸存者，亦难免道德沦丧，互贼互害不择手段。尤其五十年代后各种运动中人人互咬，落水者出于自保或者泄愤往往咬出更一大串，使人不得不生此联想。
貓小三的意思其實是如果先生,看过,还行,2016/9/13 3:07,29,我，全程都在等孔侑脱下他的衬衫。然而退役后不再卖肉的他，只是让胸肌隐隐起伏在衬衫下。
嘟嘟熊之父,看过,较差,2016/9/14 22:01,20,唉，人类对于因果线性的思维模式和非黑即白的价值输出真的有一种天生的依赖，哪怕一眼就能望向结局。看这种电影像约炮，约前兴奋，约后空虚。
Obtson,看过,还行,2016/9/18 13:33,23,孔侑凭借此片奠定韩国头号抱孩子男星的地位，比《熔炉》那会儿更娴熟了。
SheliaLiu,看过,推荐,2016/9/25 23:29,23,给那个主动开门放丧尸的大妈点赞，最后那一枪开了就是神作
袁萍,看过,推荐,2016/11/2 11:12,22,丧尸不会吓到我，惊恐和恶心的是人性！！人性比丧尸恐怖多了~
头你别疼了星人,看过,还行,2016/9/12 22:20,23,三星到四星之间。最爱角色是胡子大叔，好男人啊。韩影对政府和军队真是逮住机会就要黑一下，这个态度肥肠可爱。为什么韩国灾难片都要搞个小孩当主配角呢？烦，减分。
兆龍他城,看过,推荐,2016/9/13 0:21,30,如果最后一枪开了，我给五星。
文泽尔,看过,还行,2016/9/15 10:45,19,补标 毕竟太过类型化 一群韩国人在认真演好莱坞僵尸片的感觉 套路之外全无惊喜 甚至为了套路而套路 各方面不如僵尸世界大战 结尾没有黑化不开心 话说回来 因为本身很喜爱僵尸题材 所以还是值得一看 马东锡战斗力破表 有加分 前传动画并不好看 全无重点 想起来再专门标下吧
zitsunari,看过,推荐,2016/9/12 0:00,18,据说丧尸片起源于对红潮蔓延的恐慌，所以韩国拍这个还是挺有说服力的。还算好看，不过每个人牺牲的顺序都被我猜中了。
安蓝·怪伯爵𓆝𓆟𓆜,看过,推荐,2016/9/11 22:15,24,节奏不错！这可是人家第一次拍丧尸片诶！没有主角光环，每个配角都是真实的“human being”有弱点也有特点，1小时20分处好评真解恨。结尾有点儿像“流感”。有美欧尼跑起来我真担心肚子掉了==
É,看过,还行,2016/8/28 5:52,19,用老套的剧情及音乐煽情赚取眼泪的手法实在low，看得我直翻白眼，要是结尾能不这么老套更残酷点，简直可以提升到另一个境界，可惜也就只停留一般商业娱乐片的水平。不过再看看我们中国的商业大片，唉。。。。。
LORENZO 洛伦佐,看过,还行,2016/9/21 6:45,21,不能比。一比才知道国产片有多烂。
安德烈大叔,看过,推荐,2016/9/13 22:31,20,本文叙事流畅，结构工整，按照颜值高低一一淘汰人物，首尾达成呼应，深刻的揭露了资本主义韩国人性的冷漠与黑暗。
平昭,看过,推荐,2016/11/19 21:54,22,其实片子bug挺多的，但是亚洲丧尸片这部绝对算不错了，将人逼至极致后的人性爆发，其实在现实中并没有太相似的地方。一部不错的商业片，但称为亚洲商业片的最高水准未免捧杀了
叶酱,看过,还行,2016/9/14 22:56,26,喜欢胖大叔耶
123456昵称,看过,还行,2017/1/5 15:23,16,很恶心这种片子，很少看此类片子。
曾于里,看过,力荐,2016/9/11 20:55,15,挺佩服韩国的电影产业的，能够生产出这么优秀的商业类型片，韩国就5000万人口，此片就有了1000万的观影人次。全程无尿点，韩片的煽情总是拿捏到位
芥末蘸酱,看过,还行,2016/9/19 16:45,11,在飞机这种密闭空间看还挺加成的，尤其是孔侑最后踢丧尸时后面的人也在踢我的椅子……
王这么,看过,较差,2016/10/5 11:25,16,硬伤槽点太多，作为商业片也是很难看的。主要卖点是“我们确实智商低下乌合之众，但我们会煽情啊！你们丧尸也没脑子可你们懂感情吗？呸！”
竹叶卷心,看过,推荐,2016/12/29 11:22,17,挺不错的丧尸电影，特别喜欢那个大叔和他老婆，两个人感情很深相处也很温暖，大叔是一个很有魅力的形象。但是这个电影也有很扯的安排不合理的地方，还有就是棒球队那一对挺可惜的，男的真的好爱那个女孩！
wfygqd,看过,推荐,2016/7/4 18:17,22,僵尸终于来韩国了……感觉有点僵尸世界大战的影子 还有僵尸的黎明的影子 总之挺棒的
SunD0wn别丧啊,看过,推荐,2016/9/12 23:34,12,一直等着就剩下自私自利的大叔。。。结果就剩下俩战斗力最渣的善良人！
SydneyCarton,看过,还行,2016/9/16 17:48,12,太无聊了。为了凹寓言的造型，完全无视正常逻辑。小女孩的选角创选角眼光新低，看到丫就烦。只有开场的僵尸扭曲姿势狂奔和拖车尾稍好，其他的真的乏善可陈。说这片技法好，真是瞎了。
orangereen,看过,力荐,2016/9/14 11:09,13,镜头细腻，人物立体鲜明，没有普世价值观里的英雄，但每一个离开的背影在幸存者心中都是一座伟岸的山，父女分别那段直戳泪点，想到老爸，哭的不要不要的，若丧尸化的一刻是生命终点，即使眼珠被蒙上灰色，也能透过生命美好感受到光。最后的歌声既是艺术化的处理，又何尝不是一种枪口下的自我救赎和希望
猫司令,看过,还行,2016/9/27 5:36,18,套路不错。但是确实有点吹上天了。
闻君有白玉美人,看过,推荐,2016/11/25 22:55,22,真的很会利用人性来赚足观众眼泪，先设计好必须情节与人物，再往里面塞东西。成功的商业片，丧尸与主角演技到位。
逍遥兽,看过,推荐,2016/9/13 22:06,23,肯定不会只有我一个人联想到卡桑德拉大桥吧。btw孕妇太矫健，完全不像真的
shield,看过,推荐,2017/2/22 20:59,12,不是害怕就是有点恶心，跟风给个好评吧
喵喵喵,看过,推荐,2018/2/12 18:27,18,本来以为是恐怖片类型的没敢看，后来听说评分挺高的，就和朋友一起去看了，真的是一部很好的片子，在这种非自然灾难面前，人类是弱小的，但精神却是强大的，父亲对孩子的爱，丈夫对妻子的爱让他们不顾一切为孩子，为妻子赢得生的希望……值得一看
马达,看过,还行,2016/9/27 19:07,25,在火车上看的，觉得满车人都是丧尸
壳子,看过,推荐,2017/1/5 14:51,17,第一次看丧尸片 胆子大没感觉害怕 这部影片对于人物性格塑造和形象的设计把控的很好 会让你觉得就是你身边的人 会让你设身处地思考如果是你处于那样的情景你会怎样做 引人思考令人感动的电影是好电影 演什么像什么的演员是好演员
血源2出了吗？,看过,很差,2016/9/12 23:22,12,毫无新意
薇羅尼卡,看过,还行,2016/9/14 11:18,13,事实再次证明，不要随便看热门片...感动嘛，确实有，但是仍旧归类到院线娱乐片比较合适，对于人性的揭露还是过浅。丧尸也没有觉得设计的多精彩，麻麻随便看看
思郁,看过,推荐,2016/9/11 22:33,14,从此片可窥探韩国商业电影和类型电影已经成熟，跟任何好莱坞僵尸片都不逊色，中国电影人也该学学了
九個9,看过,还行,2016/9/13 22:39,17,亚洲的丧尸果然有性格竟然怕黑，是在倒时差么？
熊阿姨,看过,还行,2017/1/1 23:24,12,太工整了，所有前面的伏笔都没浪费，一个一个一个抛出来起作用，最后注意力全放在预测又要用什么伏笔了。
若梦,看过,推荐,2018/1/18 16:45,62,刻画出人性，每个人都有不同的选择与性格。剧情紧凑刺激。结局也比较有意义
rune1121,看过,力荐,2016/9/11 22:51,14,特技不是最好，摄影不是最好，甚至桥段创意都不是最好的，但是有史以来最触动人心的僵尸片。现在已经不是十几年前玩个生化危机1都能吓得晚上睡不着的年代了，如今僵尸们比邻家女孩还大众化。。。能把这么烂俗的题材拍成这水平，导演和编剧功力惊人
xxhhcc,看过,还行,2016/9/15 19:34,8,韩莱坞标准商业大作，可惜近年来趋于模式化，娱乐性和血浆性都不及同样打僵尸的<请叫我英雄>
猫小蓟,看过,力荐,2016/9/18 10:58,8,大妈开门好评！剧情和效果都不错啊~~如果是我估计第一个主动喂丧尸了，这么逃亡好绝望啊～～
富嶽百景,看过,力荐,2016/9/13 23:57,6,泪点：母子电话，胖大叔丧尸化，以及结尾孩子唱歌。每个角色都鲜明。电影很棒，导演拍的好，拖一火车尾的丧尸可以是经典场景了吧。演员都不错，喜欢的当然是胖大叔，存善勇敢强壮爱老婆！金义城的反派演的棒。(没认真看电影的人最爱BB吐槽bug钓鱼)
心生,看过,推荐,2016/9/21 13:27,5,套路成就商业，夹带的关怀构成内核。
乔小囧,看过,还行,2016/9/14 4:33,12,丧尸工作原理：只是因为在尸群中多看了你一眼……
阿V,看过,还行,2016/9/10 22:05,25,"韩国好老公，日剧跑孕妇，感脚孕妇把肚子都跑小了(¬˛¬"")群众尸化2秒钟，男主被咬能活5分钟诶～"
北山公园,看过,推荐,2016/9/17 20:11,19,观后感如下:我看丧尸片可以把室友吓到 学校让我们跑800m是很有用的 最近看的韩国电影都是孔侑主演的，人性的思考与反思
斑斑点点,看过,力荐,2017/2/24 14:27,12,对未知世界的恐惧，滋生了人类的自私与贪婪！整部影片在不余遗力的渲染这一主题。
Ou,看过,还行,2016/9/3 18:32,10,邪恶大叔长得太像陈奕迅了。“你当我是浮夸吧，夸张只因我很怕。似石头似木头的话，活到最后吗？”
KREJERK,看过,很差,2016/9/14 12:17,15,没有那对破烂升格镜头和狗血剧情这故事最多也就拍60分钟，拷问不是这么拷问的，用韩剧手法就能拷问出东西来了？太失望了
��🌈,看过,推荐,2016/9/24 17:47,10,男人英勇女人果断，22分钟开始持续高潮，今年唯一看得惊叫的片子。气氛塑造完美，群演给力，畅快的观影体验。PS：嫁人当嫁马东锡，这个大叔人设太好！回头看看国产影片，最终不是唯物了就是圈钱了....特别统一无趣，鲜有佳作。
X,看过,推荐,2017/4/10 19:54,17,亚洲出产的最像好莱坞大片的电影之一。孔侑演的很有魅力，但是最后安排他死掉的情节不合理
幕天席地,看过,力荐,2017/2/13 7:36,12,再自私的父亲在面对女儿的时候也会挺身而出，与冷漠的路人成鲜明的对比，这部电影就是处处体现着人性本善，夫妻情，父女情，姐妹情，欲言又止的小爱情，最后父亲尸化的片段让人动容
過期貓糧,看过,推荐,2016/9/14 10:58,18,丧尸逼很真，群演都很拼，从平静生活转换为世界危机的过程很有代入感。孕妇好看，也想帮她造小孩。小女孩丑哭，有点受不了。套路还是太深，最后一枪爆头才完美。或者本来想看清楚再说，结果小女孩一唱歌，我操太难听了忍不了，把小女孩一枪爆头：）
胖达叔,看过,还行,2016/10/8 6:48,17,这个基本是一出关于个人权利和共同体利益的伦理剧，讨论理想国的时候，学生还引证了此片。从电影本身说就是一部如好莱坞般的作品，但是韩国电影明显视野受局限，从头到尾都是韩国各地咋了，换作好莱坞，恐怕就是美国领导下的全世界咋了，换做中国来拍……建国之后应该不能有丧尸的。
花落  思量错,看过,推荐,2017/3/20 21:48,11,很少看僵尸片，釜山行真的不算恐怖，我看到的都是人性，是一个男人从自私转变成无私，到最后宁可牺牲自己，透露出人性的脆弱和伟大。韩国电影拍的真的挺用心的，主演很敬业，僵尸很逼真，挺值得内陆电影学习
寂寞の蜗牛,看过,很差,2016/9/26 16:09,12,我觉得影片本身值得6.5到7分左右，实在是受不了无脑吹，故给1星
Q。,看过,还行,2016/9/11 21:12,15,尽管套路满满，转折生硬，好坏分明，但不失为一部完成度很高的亚洲丧尸片。★★★☆
西楼尘,看过,较差,2016/12/22 9:33,15,丧尸俨然和吸血鬼神魔志怪一样成为独立自成体系的虚构物种文化，《行尸走肉》用了几百集归根结底讲的都是末世人性。当不会开车门没有嗅觉只会乱咬人的低等生物占领车站隧道高铁，如何高明地玩转人性才显功力。一边丧尸突袭一边人类堵门，用力过猛的《釜山行》显然是失败的。人性经不起考验，何必认真。
请你吃童话,看过,力荐,2016/9/18 10:48,12,丧尸片的题材对于我真是白看不厌
一颗小夹心,看过,力荐,2016/9/23 15:14,13,厉害了，换成我国超市降价的大妈大爷就更形象了
锦鲤,看过,很差,2016/12/31 19:07,13,丧尸的舞姿和跑步速度好评，节奏衔接好评
老Ben蘇,看过,还行,2016/9/17 1:32,8,6/10.在及格线徘徊。都是好莱坞玩剩下的，再加一点雪国列车的奇思妙想，别的任何关于深度的东西都是灾难片的标配，如果说工业的话，只能说成本控制得很好，这一点是中国最该学的
偷乐居士,看过,推荐,2016/9/12 16:37,13,本片的重点不在变异，而在于人性的批判，以及对掌握话语信息控制权的ZF的不信任。哎呀呀，韩国商业片都这么牛逼了，亚洲电影新方向啊！PS：最近韩国隧道挺重要的， 建议多建。7.8
ZeonGin Sou,看过,力荐,2016/9/13 0:48,10,韩国人一出手，就直踩丧尸片巅峰。踏准鼓点的韩式灾难片，紧张刺激节奏与堆砌人性险恶相结合。比起纯卖弄血浆和视效的欧美风，尸速列车更讲究的是超高速丧尸围剿下人性的丑陋，以及埋藏在人性下一闪而过的良知。再毒不过人心，但，再暖也不过人心。
最终幻想水产🦑,看过,推荐,2016/9/19 21:24,16,一个思考，如果所有人都穿很细的，一不小心就崴脚的高跟鞋能否减缓僵尸的扩散。
威治魚,看过,推荐,2016/9/12 2:29,19,韩国僵尸跑得比西方的僵尸，还快
bornfreeyolo,看过,力荐,2017/3/21 19:29,10,像结构完整的样板丧尸片，不过剧情起伏安排到位，全程无尿点，值得一看
美女菜kun,看过,还行,2016/9/20 9:15,15,没有网上吹嘘的那么好看，可能是期望的太高了。不得不说，韩国的电影在感情的表达方面还是相当细腻的。
lynn,看过,推荐,2017/1/15 23:22,10,人都是自私的  在灾难面前暴露得更明显  催泪 感人  不会很恐怖  喜欢
你爹语重心长,看过,推荐,2016/9/28 23:40,9,看过的韩国电影不多，惊悚片更是第一次看，但看过电影后，相信釜山行真的是口口相传出来的好口碑。电影有别于其他丧尸片的一点是它并没有过于描绘丧尸的恶心恐怖残忍，更加侧重描绘人与人之间的感情，每个人物，甚至所谓反派也刻画得有血有肉。唯一不太好的是有时候缺乏紧张感，不过瑕不掩瑜吧。
苏小朵,看过,力荐,2016/9/13 14:17,9,《釜》里僵尸不仅会跑，还跑的很快，主要集中在一趟列车里来势汹汹，这是韩片厉害的地方：一般不太大开大合，而是善于在腾转挪移间讲故事，讲人性，讲阶级对立，还顺道讲讲道理，还不生硬。我从来没想到一个僵尸片能看的全程紧张投入，厉害。最后枪声要是响起，这片就更厉害了，但对现在的结尾心存感激
五色全味,看过,还行,2016/9/13 12:33,12,包裝精緻套路到死的成功通俗劇，煽情、黑白分明和道德正確共舞
Lotte Mars,看过,推荐,2016/9/3 18:46,10,无尿点良心商业片；灾难片的群演很重要，有些镜头还是出戏了；拍了个美美的日式氛围的结尾
nomad,看过,很差,2016/9/12 23:58,28,看吐了
